Fecha;PM2.5(µg/m³);PM1(µg/m³);SO2(µg/m³);CO(mg/m³);NO(µg/m³);NO2(µg/m³);PM10(µg/m³);NOx(µg/m³);Ozono(µg/m³)
2014-01-04;3;2;1;0.3;2;11;9;14;63
2014-01-08;13;10;1;;39;46;15;105;27
2014-01-09;;;2;;45;64;;134;11
2014-01-12;;;3;;13;36;;55;19
2014-01-13;;;;;10;42;;57;29
2014-01-14;;;;;7;32;;43;44
2014-01-15;7;6;2;;38;42;11;101;25
2014-01-16;6;5;2;;25;41;9;80;35
2014-01-17;7;5;;;17;51;10;77;34
2014-01-18;7;6;;;7;36;10;47;32
2014-01-20;3;2;2;0.2;2;21;8;24;58
2014-01-23;6;4;1;0.2;32;55;9;103;28
2014-01-24;5;4;0;0.3;5;30;9;37;48
2014-01-27;;;2;0.3;2;11;;14;60
2014-02-01;6;5;1;0.0;12;;10;42;45
2014-02-15;7;6;2;0.0;11;34;10;52;41
2014-02-20;7;5;;0.1;21;39;11;71;36
2014-02-21;;;;0.2;;;;;45
2014-03-08;23;19;4;0.1;;;30;;50
2014-03-11;18;15;6;0.2;;;28;;48
2014-03-12;27;23;5;;;;29;;50
2014-03-13;;;;;;;;;58
2014-03-14;23;20;;;;;29;;40
2014-03-19;30;25;;0.2;;;37;;49
2014-03-20;25;19;;0.1;;;33;;48
2014-03-23;4;3;3;0.0;4;20;6;26;63
2014-03-26;;;1;0.0;1;12;;14;71
2014-03-27;;;0;0.0;3;24;;29;71
2014-03-30;24;17;0;0.1;2;26;30;30;62
2014-03-31;22;18;0;0.1;24;46;29;82;50
2014-04-01;22;17;0;0.1;19;46;28;75;51
2014-04-03;6;5;1;0.1;2;23;8;27;58
2014-04-04;2;1;2;0.0;2;11;7;13;80
2014-04-05;3;3;1;0.1;2;17;6;20;63
2014-04-06;6;5;1;0.1;3;28;10;32;51
2014-04-18;20;16;2;0.2;3;35;27;40;51
2014-04-21;5;5;0;0.1;2;17;6;20;51
2014-04-23;10;8;2;0.1;14;47;15;68;41
2014-04-25;3;2;2;0.1;2;18;9;20;72
2014-04-26;4;3;2;0.1;2;10;9;13;55
2014-04-28;8;5;0;0.1;5;33;12;40;45
2014-05-03;3;2;0;0.1;2;27;8;30;50
2014-05-06;10;8;3;0.1;8;35;12;47;60
2014-05-07;13;11;2;0.1;7;33;15;43;60
