Fecha;PM2.5(µg/m³);SO2(µg/m³);CO(mg/m³);NO(µg/m³);NO2(µg/m³);PM10(µg/m³);NOx(µg/m³);Ozono(µg/m³);Veloc.(m/s)
2014-01-05;5;0;0.1;;;9;;60;1.3
2014-01-06;5;0;0.1;;;8;;53;0.8
2014-01-20;4;3;0.1;7;31;8;42;51;0.7
2014-01-23;7;2;0.2;30;72;13;118;19;0.4
2014-01-24;6;0;0.1;12;47;11;65;41;0.5
2014-01-28;5;2;0.1;6;20;9;28;57;1.9
2014-01-29;5;1;0.2;6;33;9;42;55;0.8
2014-01-31;6;3;0.2;17;53;12;79;31;0.3
2014-02-04;7;;0.2;7;43;12;53;43;0.6
2014-02-06;7;;0.2;18;48;13;76;41;0.6
2014-02-09;7;;0.2;4;22;13;28;58;0.7
2014-02-13;4;2;0.1;4;20;9;27;40;1.1
2014-02-14;5;;0.1;3;25;11;29;37;1.0
2014-02-18;11;;0.2;29;56;20;100;25;0.4
2014-02-23;;;0.2;10;37;;53;48;0.7
2014-02-25;10;;0.2;15;39;21;62;44;0.9
2014-03-06;8;;0.2;24;44;16;81;40;1.2
2014-03-07;10;;0.2;8;47;18;60;54;0.7
2014-03-08;13;;0.2;4;45;23;51;57;0.8
2014-03-10;11;;0.2;5;55;21;63;47;0.4
2014-03-13;12;;0.3;1;33;22;35;50;1.3
2014-03-21;18;;0.2;5;48;33;56;41;0.8
2014-03-23;4;;0.2;0;18;9;18;63;0.8
2014-03-26;4;;0.2;1;19;8;20;66;1.2
2014-03-27;5;;0.2;1;22;11;24;69;1.5
2014-04-01;11;;0.1;7;31;21;41;59;1.1
2014-04-03;6;;0.1;2;32;11;35;49;0.5
2014-04-14;9;1;0.2;1;17;16;19;59;1.2
2014-04-15;11;1;0.2;12;35;21;53;57;1.4
2014-04-17;9;1;0.2;0;20;15;20;71;1.4
2014-04-18;11;3;0.2;5;25;19;32;58;1.3
2014-04-20;7;0;0.2;1;4;13;5;72;1.2
2014-04-22;5;2;;8;22;10;35;49;1.6
2014-04-26;5;;;;;9;;60;1.0
2014-04-27;5;;;0;11;10;11;69;1.7
2014-05-01;6;4;;2;14;11;17;58;1.6
2014-05-02;6;;;4;18;11;24;54;1.3
2014-05-03;4;4;;0;14;8;15;67;1.2
2014-05-05;7;2;;2;12;14;15;70;1.9
2014-05-09;11;3;;6;23;20;32;53;0.9
2014-05-12;7;1;;;;13;;65;1.9
2014-05-13;6;1;;;;11;;69;2.2
2014-05-20;9;1;;;;16;;82;2.6
2014-05-22;5;2;;;;10;;70;1.2
2014-05-26;8;1;;1;11;15;12;67;1.9
2014-05-28;;2;;;;;;60;1.7
2014-06-01;;2;;2;7;;9;66;1.2
2014-06-04;8;3;;;;14;;77;2.5
2014-06-06;5;1;;;;9;;64;2.1
2014-06-07;10;1;;;;17;;68;1.6
2014-06-08;10;1;;;;18;;79;1.8
2014-06-11;4;2;;;;8;;56;1.0
2014-06-12;5;3;;;;10;;59;1.2
2014-06-14;8;1;;;;13;;70;1.9
2014-06-19;;1;;;;;;79;1.9
2014-06-21;3;1;0.1;2;20;6;23;70;1.3
2014-06-25;;1;0.3;2;38;;40;47;0.8
2014-06-27;;1;0.2;1;26;;27;71;1.9
2014-07-08;2;1;0.2;3;15;3;19;51;2.2
2014-07-14;4;2;0.2;2;13;8;15;44;1.5
2014-07-15;4;1;0.2;1;9;7;9;46;1.7
2014-07-16;4;1;0.1;;;6;;48;1.7
2014-07-18;5;2;0.2;;;10;;46;2.2
2014-07-23;3;3;0.2;1;19;5;20;47;2.2
2014-07-29;6;2;0.2;1;10;13;12;52;1.5
2014-08-06;13;3;0.2;2;10;24;13;37;2.1
2014-08-07;12;4;0.2;1;8;21;10;42;1.9
2014-08-13;4;3;0.2;1;12;10;14;46;3.1
2014-08-15;3;3;0.2;1;2;6;3;49;2.7
2014-08-17;3;2;0.2;1;5;6;6;56;1.5
2014-08-19;4;3;0.2;1;7;8;8;57;1.9
2014-08-23;3;2;0.1;1;2;5;4;59;2.6
2014-08-27;7;2;0.2;2;13;13;16;53;1.6
2014-08-31;2;2;0.1;1;3;3;4;55;1.0
2014-09-02;4;2;0.2;2;11;7;14;50;1.4
2014-09-04;7;2;0.2;5;17;13;23;58;1.7
2014-09-06;;2;0.2;2;11;;13;53;1.9
2014-09-10;15;2;0.2;3;15;18;19;48;1.5
2014-09-13;10;1;0.2;1;16;11;18;65;1.6
2014-09-15;10;1;0.2;2;20;12;23;47;1.4
2014-09-17;8;2;0.2;3;18;9;22;47;0.8
2014-09-20;7;3;0.2;2;16;8;18;57;0.9
2014-09-24;9;3;0.2;7;27;10;36;40;0.9
2014-09-27;13;3;0.2;3;23;15;26;60;1.5
2014-09-29;9;4;0.2;10;30;11;44;38;0.6
2014-10-02;9;3;0.2;4;30;10;35;41;0.7
2014-10-03;9;3;0.2;9;30;11;42;50;0.8
2014-10-09;9;3;0.2;4;28;10;32;41;0.6
2014-10-12;4;3;0.1;2;14;5;15;53;0.9
2014-10-13;5;3;0.2;2;26;6;28;46;0.7
2014-10-15;5;3;0.2;6;26;6;34;41;0.9
2014-10-16;7;3;0.2;4;26;8;31;33;1.0
