Fecha;SO2(µg/m³);NO(µg/m³);NO2(µg/m³);PM10(µg/m³);Ni(ng/m³);NOx(µg/m³);Ozono(µg/m³);As(ng/m³);Pb(µg/m³);BaP(ng/m³);Cd(ng/m³)
2015-05-18;3;18;48;;;75;50;;;;
2015-05-20;3;8;41;16;0.97;53;60;0.14;0.0;;0.04
2015-05-24;3;7;45;22;4.03;56;63;0.28;0.0;;0.06
2015-05-27;3;8;34;23;;47;57;;;;
2015-05-28;3;7;30;28;8.06;41;66;0.28;0.0;;0.08
2015-06-04;4;14;49;;;70;48;;;;
2015-06-08;4;10;45;29;;60;63;;;;
2015-06-09;4;14;44;;;64;67;;;;
2015-06-15;3;8;34;28;;45;56;;;0.04;
2015-06-16;3;9;38;21;2.22;51;55;0.28;0.0;;0.14
2015-06-18;4;13;38;26;4.31;58;55;0.42;0.0;;0.08
2015-06-25;3;12;35;;;52;61;;;;
2015-06-27;4;9;43;37;11.11;57;58;1.11;0.0;;0.1
2015-06-28;3;4;28;;;34;66;;;;
2015-07-06;4;17;51;45;;77;51;;;;
2015-07-13;3;12;32;;;50;44;;;;
2015-07-17;3;10;38;;;53;52;;;;
2015-07-23;3;8;33;;;45;43;;;;
2015-07-25;3;4;17;;;22;57;;;;
2015-07-26;3;3;16;;;21;45;;;;
2015-07-29;3;8;23;35;;35;;;;;
2015-07-31;4;6;25;31;;33;44;;;;
2015-08-02;3;3;19;23;;24;71;;;;
2015-08-04;3;9;31;32;;44;54;;;0.04;
2015-08-08;3;4;26;;;32;41;;;;
2015-08-12;3;5;22;17;2.64;30;47;0.14;0.0;;0.01
2015-08-13;3;5;26;22;1.94;34;54;0.28;0.0;;0.01
2015-08-14;5;9;30;18;1.81;43;52;0.14;0.0;;0.03
2015-08-15;4;3;17;20;;22;54;;;;
2015-08-17;4;6;27;24;1.94;37;49;0.14;0.0;;0.02
2015-08-19;4;4;19;;;26;60;;;;
2015-08-23;3;3;16;17;;21;41;;;;
2015-08-24;4;3;18;;;24;52;;;;
2015-08-26;3;4;22;24;;28;55;;;;
2015-08-27;3;7;23;;;33;49;;;;
2015-09-05;3;7;25;;;35;50;;;;
2015-09-06;3;3;23;;;27;50;;;;
2015-09-07;3;18;52;;;79;15;;;;
2015-09-09;3;15;38;;;61;44;21.0;;;
2015-09-14;4;4;19;;;25;49;;;;
2015-09-21;4;17;42;;;68;44;;;;
2015-09-22;3;27;46;;;88;42;;;;
2015-09-24;3;14;39;18;1.67;60;41;0.14;0.0;;0.17
2015-09-25;3;20;49;27;2.5;79;34;0.28;0.0;;0.01
2015-09-29;4;10;36;20;;51;38;;;;
2015-10-02;3;18;38;;;66;43;;;;
2015-10-03;3;15;48;31;3.19;70;22;0.56;0.0;;0.08
2015-10-04;3;14;44;;;65;26;;;;
2015-10-10;3;7;34;21;1.87;44;34;0.28;0.0;;0.01
2015-10-17;3;5;30;26;2.29;38;60;0.42;0.0;;0.07
2015-10-20;3;9;44;;;58;23;;;;
2015-10-22;3;23;46;29;1.67;80;25;0.42;0.01;;0.38
2015-10-24;3;16;47;36;;71;22;;;0.23;
2015-10-25;3;7;33;25;;43;31;;;;
2015-10-28;3;4;25;15;1.11;32;37;0.14;0.01;;0.01
2015-10-29;3;19;39;28;;67;27;;;;
