Fecha;NO(µg/m³);NO2(µg/m³);PM10(µg/m³);NOx(µg/m³);PM2.5(µg/m³)
2018-10-17;32;60;44;109;21
2018-10-18;51;62;29;141;21
2018-10-24;50;76;48;153;29
2018-10-26;38;63;52;121;28
2018-10-28;5;11;8;19;5
2018-10-30;22;37;17;72;11
2018-11-02;68;48;37;153;21
2018-11-03;23;38;24;72;14
2018-11-04;18;35;24;62;14
2018-11-07;23;36;20;71;9
2018-11-11;12;26;17;43;10
2018-11-12;37;44;36;100;23
2018-11-14;23;40;43;75;31
2018-11-18;15;33;19;56;14
2018-11-19;26;38;18;78;14
2018-11-20;21;37;16;68;11
2018-11-21;40;42;28;103;13
2018-11-24;33;40;22;91;11
2018-12-01;;;28;;16
2018-12-02;;;26;;16
2018-12-07;;;44;;31
2018-12-10;;;41;;21
2018-12-13;35;50;19;103;13
2018-12-16;10;25;11;39;7
2018-12-17;65;62;29;162;13
2018-12-21;32;37;22;86;13
2018-12-22;26;30;21;69;13
2018-12-23;19;28;26;57;20
2018-12-24;29;33;42;78;29
2018-12-28;52;54;46;133;34
2019-01-01;15;32;32;54;22
2019-01-03;50;48;47;125;27
2019-01-09;;;44;;22
2019-01-11;59;61;46;152;21
2019-01-28;24;40;25;77;8
2019-01-29;21;34;23;65;8
2019-02-01;10;23;19;39;5
2019-02-02;11;19;17;36;6
2019-02-04;33;53;28;104;13
2019-02-06;52;59;49;138;27
2019-02-08;41;54;55;116;40
2019-02-09;25;48;56;86;44
2019-02-11;39;48;29;106;14
2019-02-14;24;55;32;91;19
2019-02-15;22;49;47;83;31
2019-02-22;55;65;79;149;46
2019-02-23;17;47;62;73;37
2019-02-24;;;57;;39
2019-02-27;34;67;58;119;30
2019-03-03;22;42;43;76;21
2019-03-04;20;34;38;64;14
2019-03-06;20;39;47;70;31
2019-03-10;15;40;34;63;20
2019-03-11;26;42;35;82;19
2019-03-14;23;41;31;77;14
2019-03-17;12;27;54;45;31
2019-03-19;5;12;28;20;19
2019-03-26;15;33;32;55;18
2019-03-28;17;40;28;66;16
2019-03-29;15;40;30;63;18
2019-03-31;3;8;18;12;16
2019-04-08;22;29;11;63;5
2019-04-18;10;28;23;43;18
2019-04-22;13;37;42;57;27
2019-04-24;10;25;14;41;6
2019-04-25;13;27;15;46;6
2019-04-27;12;29;20;47;11
2019-04-29;7;17;23;27;16
2019-05-03;24;38;27;76;17
2019-05-04;12;27;17;44;10
2019-05-05;8;19;19;31;10
2019-05-06;16;27;24;51;13
2019-05-07;19;32;41;60;30
2019-05-08;15;21;30;45;14
2019-05-09;17;27;14;54;4
2019-05-12;8;24;23;35;12
2019-05-13;12;29;25;48;15
2019-05-16;11;30;26;47;15
2019-05-18;8;26;17;38;8
2019-05-22;17;30;23;56;14
2019-05-23;16;36;28;60;16
2019-05-30;17;34;24;59;11
2019-06-03;13;30;21;49;11
2019-06-07;16;28;25;52;11
2019-06-08;9;19;30;33;13
2019-06-09;7;21;25;32;12
2019-06-11;12;25;23;43;9
2019-06-12;10;20;13;35;6
2019-06-17;11;20;22;36;14
2019-06-18;10;20;19;36;12
2019-06-25;;;16;;11
2019-06-29;13;44;18;65;11
2019-07-01;13;34;19;53;15
2019-07-05;16;38;16;63;13
2019-07-09;17;36;21;62;12
2019-07-10;13;34;18;54;11
2019-07-24;20;53;23;84;13
2019-07-25;17;46;19;71;12
2019-07-26;16;37;21;62;15
2019-07-27;11;27;24;44;11
2019-07-31;17;32;12;58;7
2019-08-01;11;28;12;45;7
2019-08-05;10;27;17;43;10
2019-08-11;7;16;17;26;12
2019-08-18;7;13;12;24;9
2019-08-22;14;29;13;51;7
2019-08-25;4;12;17;18;13
2019-08-28;16;32;17;57;10
2019-09-04;15;29;12;52;9
2019-09-05;14;29;12;50;7
2019-09-06;15;27;11;49;6
2019-09-07;11;25;12;42;7
2019-09-10;14;27;14;49;6
2019-09-16;12;40;;59;
2019-09-18;18;39;;66;
2019-09-21;3;14;26;19;16
2019-09-22;4;8;15;14;8
2019-09-23;18;29;20;56;8
2019-09-25;17;25;22;50;9
2019-09-27;16;33;29;58;17
2019-09-29;4;18;26;24;17
2019-10-03;21;35;23;67;8
2019-10-06;8;20;25;31;15
2019-10-08;29;39;31;83;15
2019-10-10;15;26;18;49;9
2019-10-15;17;28;13;54;5
2019-10-18;23;35;24;71;11
2019-10-26;20;41;24;72;16
2019-10-27;7;25;26;36;20
2019-10-29;39;52;52;111;39
2019-11-09;9;15;9;29;4
2019-11-11;21;25;13;58;5
2019-11-17;12;22;9;41;6
2019-11-20;31;43;20;91;11
2019-11-22;37;41;17;98;12
2019-11-23;10;20;9;36;4
2019-11-25;18;28;11;54;6
2019-11-26;26;32;14;72;7
2019-11-30;17;32;14;58;9
2019-12-03;18;28;13;55;10
2019-12-04;21;30;7;62;5
2019-12-07;28;31;26;73;18
2019-12-09;27;28;14;69;7
2019-12-10;38;35;17;93;8
2019-12-12;14;20;10;41;5
2019-12-13;11;19;12;36;5
2019-12-14;9;17;8;31;4
2019-12-16;34;34;26;86;16
2019-12-19;43;43;32;109;18
2019-12-20;15;23;;45;
2019-12-21;5;5;;12;
2019-12-24;21;29;16;61;10
2019-12-26;55;41;30;126;16
2019-12-27;38;36;32;95;22
2019-12-30;28;34;38;77;31
2020-01-03;45;34;45;103;39
2020-01-04;24;30;31;67;26
2020-01-15;60;41;50;132;32
2020-01-16;61;37;48;130;33
2020-01-18;14;21;19;42;13
2020-01-25;;;69;;45
2020-01-28;;;12;;6
2020-01-31;28;33;14;77;8
2020-02-01;13;25;10;45;6
2020-02-03;53;43;31;125;15
2020-02-04;45;43;41;112;19
2020-02-06;25;35;27;74;19
2020-02-10;29;34;18;78;10
2020-02-11;34;39;26;91;16
2020-02-13;33;48;49;99;41
2020-02-15;14;27;35;49;31
2020-02-19;21;34;19;66;15
2020-02-22;25;40;33;79;29
2020-02-24;58;57;32;147;20
2020-02-26;29;47;26;91;13
2020-02-27;27;38;40;81;17
2020-03-02;14;21;30;41;7
2020-03-03;15;22;13;46;6
2020-03-04;30;31;12;77;6
2020-03-09;34;41;21;93;10
2020-03-11;50;65;36;141;25
2020-03-14;13;29;16;48;12
2020-03-22;7;10;12;21;10
2020-03-25;9;20;12;34;10
2020-03-26;10;15;16;30;13
2020-03-28;6;11;16;20;14
2020-03-29;6;9;13;18;11
2020-04-01;5;10;4;18;2
2020-04-04;4;12;13;18;11
2020-04-06;5;14;16;21;15
2020-04-08;8;20;20;32;18
2020-04-09;7;18;20;30;17
2020-04-13;5;9;14;16;13
2020-04-20;7;16;6;26;5
2020-04-21;9;23;4;36;3
2020-04-28;8;14;4;26;3
2020-04-29;9;17;4;31;2
2020-04-30;9;15;5;29;2
2020-05-01;6;7;3;17;1
2020-05-05;10;23;4;38;2
2020-05-10;5;6;1;13;1
